email,nps,survey_year,primary_category,gender,age,total_sessions,follower_count,w2_active,m2_active,genres_books,genres_screenpla,genres_podcasts,first_app_open_d,user_type
1153,8,24,"TV/Movies, Books, Podcasts",Female,45-54,226,25,TRUE,TRUE,"[""Comedy"",""Comedian"",""Young Adult"",""Historical Fiction"",""Coming of Age"",""Classics"",""Poetry"",""Children's Books"",""Cooking"",""Cookbooks"",""Books for Kids"",""Sports"",""Whodunit""]","[""Comedy"",""Spoofs and Mockumentaries"",""Drama"",""Tearjerkers"",""Courtroom Dramas"",""Family Friendly"",""Family Dramas"",""Period Dramas"",""Disney"",""Documentary"",""Docuseries"",""War"",""Whodunit"",""Action & Adventure"",""Reality"",""Sports"",""Baseball"",""Food"",""Football"",""Romantic Comedy"",""Fantasy"",""Magic"",""Epic Fantasy"",""Sitcoms"",""Music"",""Political"",""Biopic""]","[""Health & Fitness"",""Fiction"",""Mental Health"",""Comedy"",""Music"",""TV & Movies"",""Celebrities"",""Comedian"",""Sports""]",2021-04-03T07:34:55,app_user
1154,5,24,"TV/Movies, Books",Non-binary,35-44,267,0,TRUE,TRUE,"[""Fantasy"",""Romance"",""Young Adult"",""Magic"",""Romantic Comedies"",""LGBTQ+""]","[""Comedy"",""Fantasy"",""Family Friendly"",""Magic"",""Adventure"",""LGBTQ+"",""Disney"",""Action & Adventure""]",undefined,undefined,app_user
1155,8,24,Books,Female,45-54,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1156,9,24,"TV/Movies, Books",Female,55-64,7,0,FALSE,FALSE,"[""Historical Fiction"",""Self Help"",""Motivation"",""Romance"",""Fantasy"",""Magic"",""Urban Fantasy"",""World War 2"",""Classics"",""Tearjerkers"",""Psychology"",""Memoirs"",""Romantic Comedies""]","[""Comedy"",""Romantic Comedy"",""Workplace Comedy"",""Stoner Comedy"",""British Comedy"",""Spoofs and Mockumentaries"",""Romance"",""Drama"",""British Dramas"",""Period Dramas"",""Courtroom Dramas"",""Documentary"",""Docuseries"",""Fantasy"",""Magic"",""Mind Bending"",""Tearjerkers""]","[""Crime"",""Unsolved Crime"",""True Crime"",""History""]",undefined,app_user
1157,8,24,TV/Movies,Female,55-64,74,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Epic Fantasy"",""Romance"",""Thriller"",""Psychological Thrillers"",""Spy Thrillers"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Historical Fiction"",""World War 2"",""Classics"",""British Classics"",""Tearjerkers"",""Self Help"",""Mental Health"",""Whodunit""]","[""Comedy"",""Romantic Comedy"",""British Comedy"",""Spoofs and Mockumentaries"",""Crime"",""True Crime"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Suspense"",""Mystery"",""Science Fiction"",""Outer Space"",""Time Travel"",""Whodunit"",""Dark Comedy"",""Adult Cartoon"",""Drama"",""British Dramas"",""Courtroom Dramas"",""Tearjerkers"",""Psychological Thrillers"",""Spy Thrillers"",""Horror"",""Supernatural"",""Zombie"",""Dystopian"",""Political"",""Biopic""]","[""Comedy"",""Comedian"",""TV & Movies"",""Music"",""Pop Culture"",""Society & Culture"",""Celebrities"",""Interviews"",""Relationship"",""Family Friendly""]",2021-04-24T14:33:08,app_user
1158,10,24,Books,Female,35-44,22,0,FALSE,FALSE,"[""Romance"",""Tearjerkers"",""Memoirs"",""Romantic Comedies""]","[""Romantic Comedy"",""Drama"",""Romance"",""Family Dramas"",""Tearjerkers"",""Documentary"",""Reality"",""Docuseries"",""Comedy"",""Crime""]",undefined,2021-04-10T12:33:12,app_user
1159,9,24,TV/Movies,Female,55-64,271,1,FALSE,FALSE,undefined,undefined,undefined,2019-10-27T14:10:15,app_user
1160,10,24,TV/Movies,Female,45-54,null,null,null,null,null,null,null,null,newsletter
1161,9,24,Books,Female,35-44,2183,29,TRUE,FALSE,"[""Young Adult"",""Fantasy"",""Historical Fiction"",""Whodunit"",""True Crime"",""Horror"",""Coming of Age"",""LGBTQ+"",""Memoirs"",""Comedy"",""Thriller""]","[""Comedy"",""Crime"",""Thriller"",""Fantasy"",""Teen"",""Horror"",""Whodunit"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Magic"",""Suspense"",""Psychological Thrillers"",""Mystery"",""Supernatural""]","[""Crime"",""True Crime"",""Unsolved Crime""]",undefined,app_user
1162,6,24,TV/Movies,Female,35-44,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1163,8,24,Books,Female,45-54,34,0,FALSE,FALSE,undefined,undefined,undefined,2021-04-30T18:08:19,app_user
1164,10,24,"TV/Movies, Books",Female,45-54,36,0,TRUE,TRUE,"[""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""True Crime"",""Memoirs"",""Fantasy""]","[""Crime"",""Dark Crime"",""True Crime"",""Thriller"",""Suspense"",""Psychological Thrillers"",""Superheroes"",""Marvel"",""Comic Book Adaptations"",""Mystery"",""Horror"",""Supernatural"",""Science Fiction"",""Time Travel"",""Dystopian"",""Drama"",""Courtroom Dramas""]","[""Crime"",""True Crime"",""Unsolved Crime"",""TV & Movies"",""Music"",""History"",""Health & Fitness"",""Mental Health"",""Fitness"",""Science & Technology"",""Science"",""Technology""]",2022-04-14T08:36:13,app_user
1165,10,24,"TV/Movies, Books",Female,45-54,389,67,FALSE,FALSE,undefined,undefined,"[""True Crime"",""Interviews""]",2020-05-01T21:46:03,app_user
1166,7,24,Books,Female,45-54,91,0,TRUE,TRUE,"[""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Historical Fiction"",""World War 2"",""True Crime"",""Whodunit"",""Memoirs"",""Tearjerkers"",""Comedy"",""Humor"",""Spy Thrillers"",""Classics""]","[""Comedy"",""Romantic Comedy"",""Dark Comedy"",""Drama"",""Family Dramas"",""Courtroom Dramas"",""Tearjerkers"",""Crime"",""Heists"",""Thriller"",""Suspense"",""Shocking Twists"",""True Crime"",""Psychological Thrillers"",""Mystery"",""Spy Thrillers"",""Black Cinema"",""Action & Adventure"",""Action"",""Adventure"",""Music"",""Reality"",""Competition"",""Food"",""Documentary"",""Survival"",""Sports"",""Football"",""Whodunit"",""Biopic"",""Workplace Comedy"",""Docuseries""]","[""Comedy"",""Crime"",""True Crime"",""Unsolved Crime"",""Health & Fitness"",""Health"",""Fitness"",""Science & Technology"",""Science"",""Pop Culture"",""Society & Culture""]",2021-07-13T05:14:48,app_user
1167,9,24,TV/Movies,Male,55-64,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1168,10,24,"TV/Movies, Books, Podcasts",Female,35-44,null,null,null,null,null,null,null,null,newsletter
1169,6,24,Books,Female,45-54,143,0,TRUE,TRUE,"[""Classics"",""Thriller"",""Science Fiction"",""True Crime"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Dystopian Fiction"",""Time Travel""]","[""LGBTQ+"",""Documentary"",""Reality"",""Competition"",""Home Improvement"",""Comedy"",""Dark Comedy"",""Crime"",""Dark Crime"",""Heists"",""Thriller"",""Psychological Thrillers"",""Shocking Twists"",""Mystery"",""Suspense"",""Science Fiction"",""Dystopian"",""Black Cinema"",""Docuseries"",""Romantic Comedy""]","[""Crime"",""True Crime"",""Health & Fitness"",""Fitness"",""Fiction"",""Science & Technology"",""Science""]",undefined,app_user
1170,8,24,TV/Movies,Female,35-44,12,0,FALSE,FALSE,undefined,"[""Fantasy"",""Crime"",""Superheroes"",""Thriller"",""Marvel"",""Spy Thrillers"",""Psychological Thrillers"",""Horror"",""Science Fiction"",""Supernatural"",""Time Travel"",""Zombie"",""Robots"",""Dystopian"",""Alien"",""Vigilante"",""Epic Fantasy"",""Magic"",""Mind Bending"",""Suspense"",""Shocking Twists"",""Outer Space"",""Mystery"",""Family Friendly"",""Comedy"",""Dark Comedy"",""British Comedy"",""Workplace Comedy"",""Adult Cartoon"",""Drama"",""Courtroom Dramas"",""Action & Adventure"",""Action"",""Adventure"",""Whodunit""]",undefined,undefined,app_user
1171,6,24,"TV/Movies, Books, Podcasts",Female,45-54,null,null,null,null,null,null,null,null,newsletter
1172,6,24,"TV/Movies, Books",Female,55-64,17,0,FALSE,FALSE,undefined,undefined,undefined,2020-03-07T09:22:15,app_user
1173,8,24,Books,Female,45-54,152,2,TRUE,TRUE,"[""Romance"",""Romantic Comedies"",""Historical Fiction"",""Thriller"",""Psychological Thrillers"",""Mystery"",""Whodunit""]","[""Drama"",""Family Dramas"",""Romance"",""Period Dramas"",""British Dramas""]",undefined,2021-08-26T19:59:33,app_user
1174,7,24,"TV/Movies, Books",Female,25-34,15,0,FALSE,FALSE,"[""Romance"",""Fantasy"",""Magic"",""High Fantasy"",""Epic Fantasy"",""Romantic Comedies"",""Young Adult"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Whodunit"",""Science Fiction"",""Time Travel"",""Dystopian Fiction""]","[""Comedy"",""Romantic Comedy"",""Workplace Comedy"",""Stoner Comedy"",""Dark Comedy"",""Romance"",""Adult Cartoon"",""Drama"",""Family Dramas"",""Courtroom Dramas"",""Crime"",""Tearjerkers"",""Dark Crime"",""Superheroes"",""Fantasy"",""Epic Fantasy"",""Mind Bending"",""Magic"",""Vigilante"",""Marvel"",""Thriller"",""Suspense"",""Shocking Twists"",""Spy Thrillers"",""Mystery"",""Science Fiction"",""Dystopian"",""Time Travel"",""Outer Space"",""Action & Adventure"",""Action"",""Adventure"",""Whodunit""]","[""TV & Movies"",""Relationship"",""Dating"",""Health & Fitness"",""Mental Health"",""Fitness"",""Beauty"",""Business""]",2023-01-21T03:30:33,app_user
1175,6,24,TV/Movies,Female,25-34,68,0,FALSE,FALSE,"[""Young Adult"",""Teen Romance"",""Coming of Age"",""Classics"",""Tearjerkers"",""Poetry"",""Business"",""Entrepreneurship"",""Leadership""]","[""Comedy"",""Romantic Comedy"",""Workplace Comedy"",""Music"",""Reality"",""Home Improvement"",""Food""]",undefined,2022-05-31T16:43:04,app_user
1176,8,24,TV/Movies,Female,35-44,244,0,FALSE,FALSE,undefined,undefined,undefined,2020-03-21T05:35:10,app_user
1177,7,24,TV/Movies,Female,65+,29,0,FALSE,FALSE,undefined,undefined,undefined,2024-08-12T16:19:20,app_user
1178,5,24,TV/Movies,Male,65+,undefined,undefined,FALSE,FALSE,undefined,"[""Comedy"",""Romance"",""Crime"",""Fantasy"",""Family Friendly"",""Science Fiction"",""Action & Adventure"",""Documentary"",""Sports"",""War"",""Western"",""Political"",""British Comedy"",""Disney"",""Sitcoms"",""Outer Space"",""Time Travel"",""Robots"",""Alien"",""Docuseries"",""Baseball"",""Golf"",""Football""]",undefined,undefined,app_user
1179,0,24,TV/Movies,Female,55-64,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1180,5,24,TV/Movies,Male,35-44,48,1,TRUE,FALSE,undefined,undefined,undefined,undefined,app_user
1181,6,24,TV/Movies,Female,55-64,137,1,TRUE,FALSE,undefined,undefined,undefined,2020-07-05T19:05:42,app_user
1182,6,24,Books,Female,18-24,63,0,FALSE,FALSE,"[""Young Adult"",""Fantasy"",""LGBTQ+"",""Horror"",""True Crime"",""Slasher"",""Classics"",""Sports"",""Memoirs"",""Whodunit"",""Tearjerkers"",""Paranormal"",""Science Fiction"",""Dystopian Fiction"",""Historical Fiction"",""World War 2"",""Thriller"",""Shocking Twists"",""Spy Thrillers"",""Mystery"",""Psychological Thrillers"",""High Fantasy"",""Dark Fantasy"",""Urban Fantasy"",""Epic Fantasy"",""Coming of Age"",""Time Travel""]",undefined,undefined,2022-04-11T06:20:26,app_user
1183,10,24,TV/Movies,Female,65+,115,0,FALSE,FALSE,undefined,undefined,undefined,2019-08-03T13:03:56,app_user
1184,5,24,Books,Female,65+,undefined,undefined,FALSE,FALSE,undefined,"[""Drama"",""Thriller"",""Crime"",""Action & Adventure""]",undefined,undefined,app_user
1185,5,24,"TV/Movies, Books",Female,45-54,17,0,FALSE,FALSE,undefined,undefined,undefined,2020-03-01T18:00:39,app_user
1186,5,24,TV/Movies,Male,65+,95,0,FALSE,FALSE,undefined,undefined,undefined,2020-04-02T09:26:04,app_user
1187,10,24,"TV/Movies, Books",Female,45-54,undefined,undefined,FALSE,FALSE,undefined,"[""Comedy"",""Action & Adventure"",""Whodunit"",""Romance"",""Drama"",""Crime"",""Fantasy"",""Superheroes"",""Thriller"",""Horror"",""Family Friendly"",""Science Fiction"",""Documentary"",""War"",""Romantic Comedy"",""Workplace Comedy"",""British Comedy"",""Family Dramas"",""British Dramas"",""Tearjerkers"",""True Crime"",""Dark Crime"",""Heist"",""Vigilante"",""Epic Fantasy"",""Mind Bending"",""Comic Book Adaptations"",""Marvel"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Spy Thrillers"",""Supernatural"",""Slasher"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Alien"",""Action"",""Adventure"",""Docuseries""]",undefined,undefined,app_user
1188,5,24,"TV/Movies, Books, Podcasts",Female,65+,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1189,10,24,"TV/Movies, Books",Female,18-24,null,null,null,null,null,null,null,null,newsletter
1190,8,24,"TV/Movies, Books",Prefer not to answer,18-24,31,0,FALSE,FALSE,"[""Romance"",""Young Adult"",""Comedy"",""Thriller"",""Mystery""]","[""Teen"",""Reality"",""Family Friendly"",""Sitcoms"",""Thriller"",""Romance"",""Comedy""]",undefined,2021-05-21T15:45:32,app_user
